연도,구분,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
2014,민원건수,354,63,43,28,29,14,33,32,18,36,15,20,23
2014,단속건수,956,36,39,38,79,137,106,141,143,129,34,27,47
2015,민원건수,491,25,7,34,50,50,39,56,46,39,87,31,27
2015,단속건수,524,46,46,72,41,26,22,26,45,18,79,50,53
2016,민원건수,727,60,40,64,55,77,72,69,75,69,78,39,29
2016,단속건수,485,61,35,73,40,6,34,37,3,63,77,45,11
2017,민원건수,604,35,36,60,34,68,63,40,63,47,70,52,36
2017,단속건수,525,32,26,44,42,72,18,71,67,58,37,19,39
2018,민원건수,672,47,45,71,78,64,46,59,54,77,54,43,34
2018,단속건수,520,67,38,39,26,64,85,12,34,40,57,48,10
