자치구명,시설 구분,주소,시설형태,설치 위치,규모,설치 주체,데이터기준일자
강북구,한국전력,서울시 강북구 도봉로 242,폐쇄형,청사 뒤,6㎡,한국전력,2020-09-17
강북구,강북구의회,서울시 강북구 삼각산로 089,개방형,본관과 신관 사이,25㎡,강북구의회,2020-09-17
강북구,강북경찰서,서울시 강북구 오패산로 406,완전폐쇄형,정문 옆,8.7㎡,강북경찰서,2020-09-17
강북구,서울북부도로사업소,서울시 강북구 한천로 913,완전개방형,주차장 옆,7.8㎡,서울북부도로사업소,2020-09-17
강북구,강북문화정보도서관,서울시 강북구 오현로 145,폐쇄형,주차장 옆,6.5㎡,강북문화정보도서관,2020-09-17
강북구,강북전자공단,서울시 강북구 덕릉로40길 74,폐쇄형,주차장 옆,10.3㎡,강북전자공단,2020-09-17
강북구,SK텔레콤,서울시 강북구 도봉로 238,개방형,본관 옆,8.4㎡,SK텔레콤,2020-09-17
강북구,삼미통산,서울시 강북구 솔샘로 223,개방형,건물 옥상,6㎡,삼미통산,2020-09-17
강북구,롯데백화점,서울시 강북구 도봉로 62,폐쇄형,건물 옥상,12㎡,롯데백화점,2020-09-17
강북구,미즐 카페 엠,서울시 강북구 한천로 1289,완전폐쇄형,건물 뒤,4㎡,미즐 카페 엠,2020-09-17
