자치구,시설 구분,시설형태,설치 위치,규모,설치일,설치 주체,관리여부,관리
강서구,청사,개방형,화곡로 302 강서구청 주차장 뒤편,25㎡,2017.7,강서구청,여,강서구청
강서구,공연장,개방형,우장산로 66 강서구민회관 1층,7㎡,2018.12,강서구청,여,강서구시설관리공단
강서구,연면적 1000㎡ 이상 대형건물,완전폐쇄형,"LG 사이언스파크 마곡중앙10로 10, 30, 70, 71 건물 옥상 10개소",-,2017.10.,LG사이언스파크,여,LG사이언스파크
강서구,연면적 1000㎡ 이상 대형건물,완전폐쇄형,LG 사이언스파크 마곡중앙10로 70 E14동 1층 옆,5㎡,2017.10.,LG사이언스파크,여,LG사이언스파크
강서구,연면적 1000㎡ 이상 대형건물,완전폐쇄형,LG 사이언스파크 마곡중앙10로 10 W5동 1층 옆,5㎡,2017.10.,LG사이언스파크,여,LG사이언스파크
강서구,연면적 1000㎡ 이상 대형건물,완전폐쇄형,LG 사이언스파크마곡중앙10로 10 W6동 1층 옆,5㎡,2017.10.,LG사이언스파크,여,LG사이언스파크
강서구,연면적 1000㎡ 이상 대형건물,개방형,공항대로 150 마곡홈앤쇼핑 옥상,3㎡,2018.6.,마곡홈앤쇼핑,여,마곡홈앤쇼핑
강서구,연면적 1000㎡ 이상 대형건물,폐쇄형,공항대로 150 마곡홈앤쇼핑 옥상,4㎡,2017.1,마곡홈앤쇼핑,여,마곡홈앤쇼핑
강서구,연면적 1000㎡ 이상 대형건물,완전개방형,공항대로 213 보타닉 파크타워 옥상,5㎡,2018.7.,마곡보타닉파크타워,여,마곡보타닉파크타워
강서구,연면적 1000㎡ 이상 대형건물,완전개방형,마곡중앙8로 3길 79 옥상,10㎡,-,FITI 시험연구원,여,FITI 시험연구원
강서구,연면적 1000㎡ 이상 대형건물,완전개방형,마곡중앙8로 1길 62 옥상,7㎡,-,(주)라파스,여,(주)라파스
강서구,연면적 1000㎡ 이상 대형건물,개방형,마곡중앙 8로 3길 57 옥상,5㎡,-,엘켐텍,여,엘켐텍
강서구,연면적 1000㎡ 이상 대형건물,개방형,마곡중앙8로 3길 55 옥상,8.5㎡,-,㈜휴인스,여,㈜휴인스
강서구,연면적 1000㎡ 이상 대형건물,완전개방형,마곡중앙8로 3길 53 옥상,8.5㎡,-,메인텍,여,메인텍
강서구,연면적 1000㎡ 이상 대형건물,개방형,강서로 443 마곡대명투웨니퍼스트 옥상,10㎡,2018.1.,마곡대명투웨니퍼스트,여,마곡대명투웨니퍼스트
강서구,연면적 1000㎡ 이상 대형건물,완전개방형,강서로 449 벨리오 오피스텔 옥상,10㎡,2017.12,벨리오 오피스텔,여,벨리오 오피스텔
강서구,연면적 1000㎡ 이상 대형건물,폐쇄형,마곡중앙8로 7길 45 1층 후문 옆,5㎡,-,코위버,여,코위버
강서구,연면적 1000㎡ 이상 대형건물,개방형,마곡중앙8로 3길 35 옥상,5㎡,-,서진기전,여,서진기전
강서구,연면적 1000㎡ 이상 대형건물,완전개방형,마곡서로 170 1층  후문,10㎡,2016.4.,마곡시티 오피스텔,여,마곡시티 오피스텔
강서구,연면적 1000㎡ 이상 대형건물,완전개방형,마곡중앙5로 1길 25 1층 후문,20㎡,2016.5,마곡헤리움 시티2차,여,마곡헤리움 시티2차
강서구,연면적 1000㎡ 이상 대형건물,완전개방형,마곡서로 158 후문,10㎡,2017.6.,마곡센트럴 타워,여,마곡센트럴 타워
강서구,연면적 1000㎡ 이상 대형건물,개방형,마곡중앙 8로 1길 16 1층 2곳,5㎡,-,웰스바이오㈜,여,웰스바이오㈜
강서구,연면적 1000㎡ 이상 대형건물,완전개방형,마곡중앙 10로 80 1층 주차장 옆,5㎡,2018.9.,센서텍,여,센서텍
강서구,연면적 1000㎡ 이상 대형건물,폐쇄형,강서구 마곡중앙로 201 주차장 옆,10㎡,2017.6,롯데중앙연구소,여,롯데중앙연구소
강서구,연면적 1000㎡ 이상 대형건물,개방형,마곡중앙로 150 옥상,30㎡,2018.2.,에스앤아이 강서,여,에스앤아이 강서
강서구,연면적 1000㎡ 이상 대형건물,개방형,양천로 583 1층,10㎡,-,우림블루나인 비즈니스센터,여,우림블루나인 비즈니스센터
강서구,체육시설,개방형,양천로 251 마곡실내배드민턴장 1층 추자창 뒤편,8.5㎡,2018.12,강서구청,여,강서구시설관리공단
강서구,체육시설,개방형,하늘길 233 골프연습장,3㎡,2016.3,영업주체,여,영업주체
강서구,체육시설,개방형,공항대로 411 골프연습장,1.5㎡,2016.6,영업주체,여,영업주체
강서구,음식점,완전개방형,마곡중앙6로 65 지투프라자 3층,10㎡,2019.5,영업주체,여,영업주체
강서구,음식점,완전개방형,마곡중앙6로 69 3층,10㎡,-,영업주체,여,영업주체
강서구,음식점,완전개방형,양천로 351 1층,4.5㎡,2017.1,영업주체,여,영업주체
