시설구분,건물명,도로명주소,지번주소,위도,경도,개수,기준일자
체육시설,고척 돔구장,서울특별시 구로구 경인로 430,서울특별시 구로구 고척동 66-47,37.49821257,126.8670887,6,2022-04-28
의료기관,구로성심병원,서울특별시 구로구 경인로 427,서울특별시 구로구 고척동 76-189,37.49964687,126.8663582,1,2022-04-28
의료기관,고대구로병원,서울특별시 구로구 구로동로 148,서울특별시 구로구 구로동 80-28,37.49117964,126.8846377,2,2022-04-28
복합건축물,지하이시티,서울특별시 구로구 디지털로 243,서울특별시 구로구 구로동 237,37.48199214,126.8923489,1,2022-04-28
복합건축물,대륭포스트타워 1차,서울특별시 구로구 디지털로 288,서울특별시 구로구 구로동 212-8,37.48356957,126.8955028,2,2022-04-28
복합건축물,대륭포스트타워 2차,서울특별시 구로구 디지털로 306,서울특별시 구로구 구로동 182-13,37.48592317,126.8973364,2,2022-04-28
복합건축물,대륭포스트타워 3차,서울특별시 구로구 디지털로34길 27,서울특별시 구로구 구로동 182-4,37.48547262,126.8982231,2,2022-04-28
복합건축물,코오롱디지털타워빌란트,서울특별시 구로구 디지털로32길 30,서울특별시 구로구 구로동 222-7,37.48338954,126.8965199,1,2022-04-28
복합건축물,삼성아이티밸리,서울특별시 구로구 디지털로33길 27,서울특별시 구로구 구로동 197-5,37.4860566,126.8946693,2,2022-04-28
복합건축물,코오롱싸이언스밸리 2차,서울특별시 구로구 디지털로34길 55,서울특별시 구로구 구로동 811,37.48428564,126.8992821,1,2022-04-28
복합건축물,우림이비지센터 1차,서울특별시 구로구 디지털로33길 28,서울특별시 구로구 구로동 170-5,37.48698233,126.8953148,2,2022-04-28
복합건축물,이엔씨벤쳐드림타워 2차,서울특별시 구로구 디지털로33길 55,서울특별시 구로구 구로동 197-10,37.48675856,126.8930445,2,2022-04-28
복합건축물,에이스테크노타워 2차,서울특별시 구로구 디지털로31길 19,서울특별시 구로구 구로동 197-7,37.48487602,126.8937672,2,2022-04-28
복합건축물,에이스테크노타워 3차,서울특별시 구로구 디지털로29길 38,서울특별시 구로구 구로동 197-48,37.48449754,126.8933105,3,2022-04-28
복합건축물,에이스하이엔드타워 1차,서울특별시 구로구 디지털로26길 5,서울특별시 구로구 구로동 235-2,37.48161059,126.8934793,1,2022-04-28
복합건축물,JNK 디지털타워,서울특별시 구로구 디지털로32길 29,서울특별시 구로구 구로동 188-5,37.48487797,126.8972987,2,2022-04-28
복합건축물,지플러스(G+)타워,서울특별시 구로구 디지털로26길 123,서울특별시 구로구 구로동 222-31,37.48308233,126.8976995,2,2022-04-28
복합건축물,신도림테크노마트,서울특별시 구로구 새말로 97 북서쪽 철로변측 인도공간,서울특별시 구로구 구로동 3-25 북서쪽 철로변측 인도공간,37.50704,126.8902,1,2022-04-28
지하철역사,신도림역,서울특별시 구로구 새말로 117-21 신도림역 2번출구,서울특별시 구로구 신도림동 460-26 신도림역 2번출구,37.50904,126.8912,2,2022-04-28
