자치구,시설 구분,시설형태,설치 위치,규모(㎡),설치기관,데이터기준일자
양천구,청사,완전개방형,양천구청 부지,8,양천구청,2020-10-29
양천구,청사,완전개방형,해누리타운 4층 옥외정원,8,양천구청,2020-10-29
양천구,청사,완전개방형,양천경찰서 부지,10,양천경찰서,2020-10-29
양천구,청사,개방형,남부지방법원 후문 옆,17,남부지방법원,2020-10-29
양천구,청사,개방형,양천세무서 부지 우측,10,양천세무서,2020-10-29
양천구,청사,개방형,서울시 출입국관리사무소 부지,10,출입국관리사무소,2020-10-29
양천구,청사,개방형,법무복지공단 부지,7,법무복지공단,2020-10-29
양천구,의료기관,개방형,이대목동병원 부지,17,이대목동병원,2020-10-29
양천구,의료기관,개방형,홍익병원 옥상,7,홍익병원,2020-10-29
양천구,의료기관,개방형,서남병원 부지,7,서남병원,2020-10-29
양천구,대형건물,완전개방형,현대백화점 4층,15,현대백화점,2020-10-29
양천구,대형건물,완전개방형,방송회관 7층,10,방송회관,2020-10-29
양천구,대형건물,개방형,상운맘모스빌딩 옥상,6.2,상운맘모스빌딩,2020-10-29
양천구,대형건물,개방형,양천벤처타운 부지,6,양천벤처타운 ,2020-10-29
양천구,대형건물,개방형,현대41타워 부지,13,현대41타워,2020-10-29
양천구,대형건물,개방형,SBS 부지,16.5,SBS,2020-10-29
양천구,대형건물,개방형,KT 목동타워 부지,3.5,KT 목동타워,2020-10-29
양천구,대형건물,개방형,KT 정보센터 부지,3.3,KT 정보센터,2020-10-29
양천구,체육시설,개방형,목동아이스링크 부지,6.5,목동아이스링크,2020-10-29
양천구,대형건물,개방형,메디컬센터 옥상,5.5,메디컬센터,2020-10-29
양천구,대형건물,개방형,양천차고지 1층,3.7,양천차고지,2020-10-29
양천구,대형건물,완전개방형,현대드림타워 후문 부지,6.6,현대드림타워,2020-10-29
양천구,금연공동주택,완전개방형,부영그린타운 3차 부지,6.5,부영그린타운 3차,2020-10-29
